scenario,marker_pre_sha256,marker_post_sha256,sequence_post_sha256
scenario_A1_v2_first_write,NONE,70734bbbd7d45e8ac28c878c4b194391dd10bb36e0b4974ceb41fd36198cc868,c3b12578127417c8687da1ee020e3bc517dc6189703c2ede7b74e83f46bc32c3
scenario_A2_v2_after_v1_migration,0b121199188bcb80a72cc13cfe26283aff7cb922317b432cf80ffa2a41f8c761,f30ccd557d7d2d941fabd014409d8c41e00b2836c27155f5b7f52de48e01159b,9a7016e949e6beef3b2ce686d9913511a64f39e63e929fcaf895394c52beab71
scenario_A3_v2_idempotent,f24756d6c9c072c535eba48a55e251d0acb8bccdc224aae1270e66b0e21cddff,f24756d6c9c072c535eba48a55e251d0acb8bccdc224aae1270e66b0e21cddff,c762e576c27e253eef4fd857b6c32eab7e62ebc6f60f53909e7c91929e0eac2a
scenario_A4_v2_higher_sequence,f24756d6c9c072c535eba48a55e251d0acb8bccdc224aae1270e66b0e21cddff,afe9a397719c053aca30c657353132470cb12f90d90f1c1ec7c1c02f93c4330c,ee899e76e9bb4984c7ddc8f79bdb0729b76f51233a06f742c54b3ce8e7bacbf8
scenario_R1_v2_lower_sequence,2cd2150560ae38ef96661ef5c98c9bfb4ea291ae1bdb6735adc112f81ee81aca,2cd2150560ae38ef96661ef5c98c9bfb4ea291ae1bdb6735adc112f81ee81aca,NONE
scenario_R2_v2_same_seq_different_digest,f24756d6c9c072c535eba48a55e251d0acb8bccdc224aae1270e66b0e21cddff,f24756d6c9c072c535eba48a55e251d0acb8bccdc224aae1270e66b0e21cddff,NONE
scenario_R3a_v2_bad_signature,NONE,NONE,NONE
scenario_R3b_v2_wrong_environment,NONE,NONE,NONE
scenario_R4_v2_wrong_chain,NONE,NONE,NONE
scenario_R5_v2_wrong_genesis,NONE,NONE,NONE
scenario_V1_v1_regression,NONE,50a45400d02ae894ea137eec1e7f734fb42c689a73fa31dd9697fb49e8c80901,46bdc34d3a927ac32021aa91fcfdd6a7360f4aefbc02482018e0689d43ba4741
