scenario,marker_pre_sighup_sha256,marker_post_sighup_sha256,sequence_pre_sighup_sha256,sequence_post_sighup_sha256
scenario_A1_first_accepted_v2_sighup,c4a4c162537b982f5a79fb1505026d4c199cca349ca5712d24bfab806c8209fc,8867b459a76bf98c9ea63d7467ee91b418c062664ce4f199829afe8c753891f8,f3dbb63ed5dbda39ab152448afa864b534b3591dd2fc287ae3a774e29c724b13,2e047415444348d88177e85565ad747fe7f4a040e63a53763dd12bfc24d27c24
scenario_A2_idempotent_v2_sighup,ed24c85601449474622cbd300c9749a29c02849c0bf1c7a18187d4500ca4822f,ed24c85601449474622cbd300c9749a29c02849c0bf1c7a18187d4500ca4822f,330539ea7b1da04a9529de8e892fdbf35eab1d1d8b5fd26ed91e8bef035df214,330539ea7b1da04a9529de8e892fdbf35eab1d1d8b5fd26ed91e8bef035df214
scenario_A3_higher_sequence_v2_sighup,ed24c85601449474622cbd300c9749a29c02849c0bf1c7a18187d4500ca4822f,e6c88c570d1588e2861618719a741763a16dabbb42e4ff1689c5847c44c18cce,330539ea7b1da04a9529de8e892fdbf35eab1d1d8b5fd26ed91e8bef035df214,c1fc21b7760da9d6e1e9e36512e370d97f91c01f66dcb30f2fb4160367ad0911
scenario_A4_v1_to_v2_migration,b71769bb223b517dbb7056c01d86f92e2d16df8d347696f32503849bf0106016,a08ebf89fb19eb86a4a4e75515daab022783e90b75fbd5dc2311db8264aefbfa,1910a1312ccf01a1f118f35ee93e4ba527980928b50ad5853938598e778fd5ca,6a78d346ded69f18b54a59d80ec4752d0411fa8c9b0ed4ec4d57a0671861d2e1
scenario_R1_lower_sequence_v2_refused,8e2cf35d9537560b56756f8b0896b29287c6e1b734285355667bf12595b2517d,8e2cf35d9537560b56756f8b0896b29287c6e1b734285355667bf12595b2517d,1910a1312ccf01a1f118f35ee93e4ba527980928b50ad5853938598e778fd5ca,1910a1312ccf01a1f118f35ee93e4ba527980928b50ad5853938598e778fd5ca
scenario_R2_same_seq_different_digest_v2_refused,e398edf5f591b8eaa1f2c2c81099a6c04d2f32e674d07c0d7cd4ef97fb03359c,e398edf5f591b8eaa1f2c2c81099a6c04d2f32e674d07c0d7cd4ef97fb03359c,1910a1312ccf01a1f118f35ee93e4ba527980928b50ad5853938598e778fd5ca,1910a1312ccf01a1f118f35ee93e4ba527980928b50ad5853938598e778fd5ca
scenario_R3_bad_signature_v2_refused,652c70593a043cd3697bbc3b8b740bd8574e54dc3961da59162296c545aae541,652c70593a043cd3697bbc3b8b740bd8574e54dc3961da59162296c545aae541,e5eb272c3c64dad3ac1622b97f10150e1674134a7e523130aad8527eea6222a6,e5eb272c3c64dad3ac1622b97f10150e1674134a7e523130aad8527eea6222a6
scenario_R4_wrong_chain_v2_refused,652c70593a043cd3697bbc3b8b740bd8574e54dc3961da59162296c545aae541,652c70593a043cd3697bbc3b8b740bd8574e54dc3961da59162296c545aae541,e5eb272c3c64dad3ac1622b97f10150e1674134a7e523130aad8527eea6222a6,e5eb272c3c64dad3ac1622b97f10150e1674134a7e523130aad8527eea6222a6
scenario_R6_v1_sighup_regression,c68240dc8e225cf3a52a4ca57c2150c0f95544fb32597fc8d8cb4210871dbe95,c68240dc8e225cf3a52a4ca57c2150c0f95544fb32597fc8d8cb4210871dbe95,e5eb272c3c64dad3ac1622b97f10150e1674134a7e523130aad8527eea6222a6,ccf3f64f655beec3744a3d358b40dcade9408e0b8d601d9b22cb420a555536f9
scenario_R7_no_sidecar_regression,NONE,NONE,e5eb272c3c64dad3ac1622b97f10150e1674134a7e523130aad8527eea6222a6,7cf73f9203823f65cbe39fde25eb191889c8a89699edd5c67483e9eeb93ddecd
scenario_R8_repeated_sighup_serialization,b5e317ccad0bc3f0cf49ecd55585772293b7107ac1ef391220bdb6ff144d58e6,0329c7bf1a3e065803880e22f6d331734ca27ea572dfe397fb03ee77ee590890,cd1334ded4ea927cd3fac638c2d30b7d5fcdeae88a1335d4ef39f85e38c2bd55,7cf73f9203823f65cbe39fde25eb191889c8a89699edd5c67483e9eeb93ddecd
